,구별,인구수,고령자,CCTV,범죄발생,범죄검거,고령자비율,CCTV비율,검거율,총 경찰관서 수,절도_발생,절도_검거,폭력_발생,폭력_검거
0,강남구,562526,93519,7009,6763,4992,16.624831563341072,1.2459868521632778,73.81339642170634,17,4960,2568,7142,6224
1,강동구,502806,95403,3191,3398,2495,18.974117253970714,0.6346384092473042,73.42554443790465,9,1676,980,1569,1383
2,강북구,287523,72975,2858,2497,2142,25.380578249392222,0.9940074359268648,85.78293952743292,12,917,730,1431,1302
3,강서구,558229,110360,3481,4296,3544,19.76966442087387,0.623579212115458,82.49534450651768,13,1794,1243,2195,2070
4,관악구,498000,91272,5366,4769,3496,18.32771084337349,1.0775100401606426,73.30677290836654,11,2013,1166,2402,2035
5,광진구,350164,61625,4091,3424,2333,17.598896517060577,1.1683097063090435,68.13668224299066,12,1616,830,1563,1320
6,구로구,410488,86366,4050,3737,2632,21.039835512853,0.9866305470561868,70.43082686647043,13,1624,849,1900,1620
7,금천구,238305,49522,2725,2240,1753,20.78093199890896,1.1434925830343468,78.25892857142858,7,987,629,1116,1022
8,노원구,492612,102792,2655,3567,2607,20.86672675452486,0.5389637280456018,73.08662741799832,9,1632,845,1766,1621
9,도봉구,304555,76430,1598,1921,1406,25.095631330958284,0.524699972090427,73.19104633003644,9,995,582,825,743
10,동대문구,361871,71095,2857,2957,2301,19.64650386463685,0.7895078632993525,77.81535339871492,13,1280,847,1522,1329
11,동작구,386593,74936,2650,2642,1763,19.38369292770433,0.6854754224727297,66.72975018925057,9,1183,601,1262,1049
12,마포구,370897,61238,2450,3834,2888,16.510783317201273,0.660560748671464,75.32603025560772,11,1472,856,1908,1688
13,서대문구,316827,61521,3224,2385,1641,19.417852645134413,1.0175900412527974,68.80503144654088,9,1194,668,1026,834
14,서초구,412204,70014,5060,4522,3049,16.98527913363286,1.2275475250118872,67.42591773551526,15,3882,1868,4306,3604
15,성동구,280683,52412,4036,2023,1411,18.67302259132188,1.437921071101563,69.74789915966386,10,893,472,1007,851
16,성북구,437692,85996,3943,2411,1958,19.64760607916069,0.9008617932244593,81.21111571961842,14,1968,1366,2568,2322
17,송파구,652908,116750,3094,5223,3520,17.88153920613624,0.4738799340795334,67.39421788244304,13,2416,1243,2483,2035
18,양천구,431500,82675,3845,3019,2135,19.15990730011588,0.8910776361529548,70.71878105332891,9,1404,732,1494,1303
19,영등포구,396841,72332,2899,4418,3387,18.22694731643152,0.7305192759820685,76.66364870982345,12,1854,1192,2232,1956
20,용산구,216214,40083,1078,3021,2268,18.538577520419583,0.498580110446132,75.07447864945382,11,978,561,1792,1481
21,은평구,463165,100546,4116,3493,2678,21.708462426996856,0.888668185203977,76.6676209561981,13,3228,2140,3432,2948
22,종로구,149332,30413,1930,2981,3485,20.36603005383977,1.2924222537701229,116.9070781616907,23,2338,1906,3126,2762
23,중구,129616,27277,2336,3348,2465,21.04446981854092,1.8022466362177507,73.62604540023895,15,3040,1728,3214,2898
24,중랑구,383958,86086,3471,3324,2474,22.42068142869793,0.9040051255606082,74.42839951865223,9,1402,786,1745,1546
